London	7,074,265	49.12
Birmingham	1,020,589	49.42
Leeds	726,939	49.43
Glasgow	616,430	47.73
Sheffield	530,375	49.73
Bradford	483,422	49.32
Liverpool	467,995	48.80
Edinburgh	448,850	48.29
Manchester	430,818	49.33
Bristol	399,633	49.59
Kirklees	388,807	49.17
Fife	349,300	48.44
Wirral	329,179	47.89
North Lanarkshire	325,940	48.58
Wakefield	317,342	49.53
Cardiff	315,040	49.09
Dudley	312,194	49.62
Wigan	309,786	49.50
East Riding	308,689	48.87
South Lanarkshire	307,450	48.37
Coventry	306,503	49.43
Belfast	297,300	n/a
Leicester	294,830	49.64
Sunderland	294,261	48.79
Sandwell	292,196	49.09
Doncaster	291,804	49.28
Stockport	291,080	48.55
Sefton	289,739	47.75
Nottingham	283,969	49.38
Newcastle-upon-Tyne	282,338	49.19
Kingston-upon-Hull	266,775	49.63
Bolton	265,449	49.30
Walsall	262,593	49.55
Plymouth	255,826	49.20
Rotherham	255,342	49.49
Stoke-on-Trent	254,438	49.57
Wolverhampton	244,453	49.28
Rhondda, Cynon, Taff	240,117	49.40
South Gloucestershire	235,129	50.01
Derby	233,708	49.59
Swansea	230,180	49.04
Salford	229,179	49.56
Aberdeenshire	227,430	49.70
Barnsley	227,213	49.14
Tameside	220,722	49.39
Oldham	220,172	48.95
Trafford	218,893	49.05
Aberdeen	217,260	48.88
Southampton	214,859	50.42
Highland	208,700	49.06
Rochdale	207,563	49.09
Solihull	203,922	48.89
Gateshead	200,968	48.88
Milton Keynes	197,131	49.85
North Tyneside	193,619	47.97
Calderdale	192,844	48.79
Northampton	192,382	49.30
Portsmouth	190,370	50.96
Warrington	189,012	49.59
North Somerset	185,340	48.68
Bury	181,873	49.54
Luton	181,468	50.15
St Helens	179,483	49.19
Stockton-on-Tees	179,009	49.20
Renfrewshire	178,550	48.28
York	175,095	48.75
Thamesdown	174,598	49.93
Southend-on-Sea	172,266	48.13
New Forest	169,513	48.40
Caerphilly	169,125	49.11
Carmarthenshire	169,108	48.65
Bath & North East Somerset	164,725	48.77
Wycombe	164,045	49.87
Basildon	163,280	49.24
Bournemouth	160,749	47.46
Peterborough	158,674	49.95
North East Lincolnshire	158,503	48.97
Chelmsford	156,601	49.26
Brighton	156,124	49.22
South Tyneside	156,078	48.69
Charnwood	155,724	49.92
Aylesbury Vale	154,927	49.73
Colchester	154,176	49.35
Knowsley	154,053	48.58
North Lincolnshire	152,767	49.39
Huntingdonshire	152,742	49.35
Macclesfield	152,604	48.86
Blackpool	152,459	48.46
West Lothian	150,770	49.20
South Somerset	150,710	48.87
Dundee	150,250	47.75
Basingstoke & Deane	147,914	49.67
Harrogate	147,635	47.66
Dumfries & Galloway	147,600	48.58
Middlesbrough	146,778	48.97
Flintshire	144,918	49.30
Rochester-upon-Medway	144,478	49.40
The Wrekin	144,154	49.60
Newbury	143,727	49.67
Falkirk	143,040	48.57
Reading	142,851	50.62
Wokingham	142,361	50.53
Windsor & Maidenhead	141,548	49.73
Maidstone	140,664	49.23
Redcar & Cleveland	139,785	48.98
North Ayrshire	139,520	48.14
Blackburn	139,491	49.25
Neath Port Talbot	139,459	48.81
Poole	139,226	48.40
Wealden	138,030	47.73
Arun	137,978	47.52
Bedford	137,451	49.82
Oxford	137,343	50.40
Lancaster	136,948	48.61
Newport	136,789	48.86
Canterbury	136,481	48.67
Preston	134,818	49.84
Dacorum	134,733	49.29
Cherwell	132,687	49.28
Perth & Kinross	132,570	48.23
Thurrock	132,283	49.75
Tendring	132,265	47.53
Kings Lynn & West Norfolk	131,214	49.20
St Albans	130,267	49.42
Bridgend	130,080	48.47
South Cambridgeshire	128,422	49.44
Braintree	126,236	49.51
Norwich	126,221	49.02
Thanet	125,543	47.45
Isle of Wight	125,466	48.19
Mid Sussex	125,329	49.30
South Oxfordshire	124,637	49.32
Guildford	124,567	49.39
Elmbridge	124,539	48.42
Stafford	124,531	49.51
Powys	124,418	49.65
East Hertfordshire	123,553	50.00
Torbay	123,413	46.94
Wrexham Maelor	123,308	48.51
East Devon	123,105	46.90
East Lindsey	123,058	48.27
Halton	123,038	49.15
Warwick	122,506	49.16
East Ayrshire	122,350	48.31
Newcastle-under-Lyme	122,314	49.17
North Wiltshire	121,747	50.06
South Kesteven	119,951	48.66
Epping Forest	119,512	48.89
Vale of Glamorgan	119,358	48.71
Reigate & Banstead	119,307	49.10
Chester	119,221	48.91
Mid Bedfordshire	118,945	49.57
Suffolk Coastal	118,681	49.10
Horsham	118,569	49.08
Nuneaton & Bedworth	118,340	49.91
Gwynedd	117,775	48.56
Swale	117,562	49.97
Havant & Waterloo	117,341	48.42
Teignbridge	116,743	48.22
Cambridge	116,701	50.13
Vale Royal	115,233	49.25
Amber Valley	115,224	49.72
North Hertfordshire	114,941	49.53
South Ayrshire	114,630	47.81
Waverley	114,133	48.49
Broadland	113,896	49.15
Crewe & Nantwich	113,670	49.80
Breckland	113,654	48.90
Ipswich	113,642	48.96
Pembrokeshire	113,597	48.78
Vale of White Horse	112,545	50.63
Salisbury	112,534	48.43
Gedling	112,194	49.01
Eastleigh	111,732	49.50
Broxtowe	111,429	49.55
Stratford-on-Avon	111,211	48.71
South Bedfordshire	110,949	49.72
Angus	110,780	48.78
East Hampshire	110,761	48.64
East Dunbartonshire	110,750	48.87
Conway	110,596	47.48
Sevenoaks	110,476	48.86
Slough	110,462	49.49
Bracknell Forest	110,092	50.62
West Lancashire	109,763	49.23
West Wiltshire	108,889	49.35
Ashfield	108,558	49.52
Lisburn	108,400	n/a
Scarborough	108,258	47.76
Stroud	108,022	49.15
Wychavon	108,009	48.93
Waveney	107,731	48.29
Exeter	107,729	49.34
Dover	107,398	48.75
Test Valley	107,182	49.47
Gloucester	106,834	49.92
Erewash	106,818	49.65
Cheltenham	106,692	49.14
Bassetlaw	106,303	49.62
Scottish Borders	106,100	48.16
